BOROUGH,NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,YEAR
BRONX,MORRISANIA/LONGWOOD,03 THREE FAMILY HOMES,30,230000,806967,825000,1225000,2022
BRONX,MOTT HAVEN/PORT MORRIS,01 ONE FAMILY HOMES,10,400000,978700,1060000,1750000,2022
BRONX,MOTT HAVEN/PORT MORRIS,02 TWO FAMILY HOMES,23,460000,878783,820000,1898000,2022
BRONX,MOTT HAVEN/PORT MORRIS,03 THREE FAMILY HOMES,9,350000,785500,779000,1176000,2022
BRONX,MOUNT HOPE/MOUNT EDEN,01 ONE FAMILY HOMES,1,1126000,1126000,1126000,1126000,2022
BRONX,MOUNT HOPE/MOUNT EDEN,02 TWO FAMILY HOMES,13,470000,1025769,890000,2375000,2022
BRONX,MOUNT HOPE/MOUNT EDEN,03 THREE FAMILY HOMES,4,535000,1070750,899000,1950000,2022
BRONX,PARKCHESTER,01 ONE FAMILY HOMES,4,530000,667500,657500,825000,2022
BRONX,PARKCHESTER,02 TWO FAMILY HOMES,35,380000,714929,734000,965000,2022
BRONX,PARKCHESTER,03 THREE FAMILY HOMES,12,225000,692851,762500,999000,2022
BRONX,PELHAM GARDENS,01 ONE FAMILY HOMES,20,240000,692200,627500,1275000,2022
BRONX,PELHAM GARDENS,02 TWO FAMILY HOMES,11,500000,889545,950000,1230000,2022
BRONX,PELHAM GARDENS,03 THREE FAMILY HOMES,2,999500,1164750,1164750,1330000,2022
BRONX,PELHAM PARKWAY NORTH,01 ONE FAMILY HOMES,40,210000,636963,672500,939000,2022
BRONX,PELHAM PARKWAY NORTH,02 TWO FAMILY HOMES,39,410000,761124,746000,1300000,2022
BRONX,PELHAM PARKWAY NORTH,03 THREE FAMILY HOMES,5,825000,1058500,950000,1350000,2022
BRONX,PELHAM PARKWAY SOUTH,01 ONE FAMILY HOMES,17,330000,672794,620000,1200000,2022
